Cluster_Name,JNDI_Name,Delivery_Mode,Bus_Name,Queue_Name,Connect_Queue_Name
DCMH_PROCESS,jms/WASToWPSDOBOQueue,Application,WTS.MH.BUS,WASToWPSDOBOQueue,WAS.TO.WPS.DOBO.QUEUE
DCBDC_PROCESS,jms/EAIToWTSBoQueue,Application,WTS.BDC.BUS,EAIToWTSBoQueue,EAI.TO.OWTS.BO.BDC.QUEUE
DCBDC_PROCESS,jms/EAIToWTSDcQueue,Application,WTS.BDC.BUS,EAIToWTSDcQueue,EAI.TO.OWTS.DC.BDC.QUEUE
DCBDC_PROCESS,jms/WTSToEAIBoQueue,Application,WTS.BDC.BUS,WTSToEAIBoQueue,WTS.TO.IWTS.BO.BDC.QUEUE
DCBDC_PROCESS,jms/WTSToEAIDcQueue,Application,WTS.BDC.BUS,WTSToEAIDcQueue,WTS.TO.IWTS.DC.BDC.QUEUE
DCBDC_PROCESS,jms/RvsImportEAIBO,Application,WTS.BDC.BUS,RvsImportEAIBO,EAI.TO.OWTS.BO.BDC.QUEUE
DCBDC_PROCESS,jms/WASToWPSQueue,Application,WTS.BDC.BUS,WASToWPSQueue,WAS.TO.WPS.QUEUE
DCBDC_PROCESS,jms/WASToWPSDOSTQueue,Application,WTS.BDC.BUS,WASToWPSDOSTQueue,WAS.TO.WPS.DOST.QUEUE
DCBDC_PROCESS,jms/WASToWPSDOBOQueue,Application,WTS.BDC.BUS,WASToWPSDOBOQueue,WAS.TO.WPS.DOBO.QUEUE
DCCDC_ONLINE,jms/WTSToWPSQueue,Application,WTS.CDC.BUS,WTSToWPSOnlineQueue,WAS.TO.WPS.QUEUE
DCCDC_ONLINE,jms/WTSToWPSDOSTQueue,Application,WTS.CDC.BUS,WTSToWPSDOSTOnlineQueue,WAS.TO.WPS.DOST.QUEUE
DCCDC_ONLINE,jms/WTSToWPSDOBOQueue,Application,WTS.CDC.BUS,WTSToWPSDOBOOnlineQueue,WAS.TO.WPS.DOBO.QUEUE
DCCDC_ONLINE,jms/WTSToEAIBoQueue,Application,WTS.CDC.BUS,WTSToEAIBoOnlineQueue,WTS.TO.IWTS.BO.CDC.QUEUE
DCCDC_ONLINE,jms/WTSToEAIDcQueue,Application,WTS.CDC.BUS,WTSToEAIDcOnlineQueue,WTS.TO.IWTS.DC.CDC.QUEUE
DCRCDC_ONLINE,jms/WTSToWPSQueue,Application,WTS.RCDC.BUS,WTSToWPSOnlineQueue,WAS.TO.WPS.QUEUE
DCRCDC_ONLINE,jms/WTSToWPSDOSTQueue,Application,WTS.RCDC.BUS,WTSToWPSDOSTOnlineQueue,WAS.TO.WPS.DOST.QUEUE
DCRCDC_ONLINE,jms/WTSToWPSDOBOQueue,Application,WTS.RCDC.BUS,WTSToWPSDOBOOnlineQueue,WAS.TO.WPS.DOBO.QUEUE
DCRCDC_ONLINE,jms/WTSToEAIBoQueue,Application,WTS.RCDC.BUS,WTSToEAIBoOnlineQueue,WTS.TO.IWTS.BO.RCDC.QUEUE
DCRCDC_ONLINE,jms/WTSToEAIDcQueue,Application,WTS.RCDC.BUS,WTSToEAIDcOnlineQueue,WTS.TO.IWTS.DC.RCDC.QUEUE
DCPDC_ONLINE,jms/WTSToWPSQueue,Application,WTS.PDC.BUS,WTSToWPSOnlineQueue,WAS.TO.WPS.QUEUE
DCPDC_ONLINE,jms/WTSToWPSDOSTQueue,Application,WTS.PDC.BUS,WTSToWPSDOSTOnlineQueue,WAS.TO.WPS.DOST.QUEUE
DCPDC_ONLINE,jms/WTSToWPSDOBOQueue,Application,WTS.PDC.BUS,WTSToWPSDOBOOnlineQueue,WAS.TO.WPS.DOBO.QUEUE
DCPDC_ONLINE,jms/WTSToEAIBoQueue,Application,WTS.PDC.BUS,WTSToEAIBoOnlineQueue,WTS.TO.IWTS.BO.PDC.QUEUE
