Scope,Cluster_Name,JDBC_Name,Data_Source_Name,MinConnection,MaxConnection,ConnectionTimeout,ReapTime,UnusedTimeout,AgedTimeout,PurgePolicy,RetryInterval,MaxRetries,RerouteServer,ReroutePort,RerouteJNDI
Cluster,DCBDC_PROCESS,DB2 Driver Provider BDC (XA),adapterMM,1,400,180,180,1800,0,EntirePool, , , , ,
Cluster,DCBDC_SIB,DB2 Driver Provider BDC (XA),WASME,1,400,180,180,1800,0,EntirePool,10,6,sewtsdb02.cpall.co.th,50000,
Cluster,DCGRP_ONLINE,DB2 Driver Provider GR (XA),WTS_GR,1,400,180,180,1800,0,EntirePool,10,6,sewtsdb02.cpall.co.th,50000,
Cluster,DCGRP_ONLINE,DB2 Driver Provider GR (XA),WTS_CDC,1,400,180,180,1800,0,EntirePool,10,6,sewtsdb02.cpall.co.th,50000,
Cluster,DCGRP_ONLINE,DB2 Driver Provider GR (XA),WTS_RCDC,1,400,180,180,1800,0,EntirePool,10,6,sewtsdb02.cpall.co.th,50000,
Cluster,DCGRP_ONLINE,DB2 Driver Provider GR (XA),WTS_PDC,1,400,180,180,1800,0,EntirePool,10,6,sewtsdb02.cpall.co.th,50000,
Cluster,DCGRP_ONLINE,DB2 Driver Provider GR (XA),WTS_BDC,1,400,180,180,1800,0,EntirePool,10,6,sewtsdb02.cpall.co.th,50000,
Cluster,DCGRP_ONLINE,DB2 Driver Provider GR (XA),WTS_ODC,1,400,180,180,1800,0,EntirePool,10,6,sewtsdb02.cpall.co.th,50000,
Cluster,DCGRP_ONLINE,DB2 Driver Provider GR (XA),adapterMM,1,400,180,180,1800,0,EntirePool, , , , ,
Cluster,DCGRP_PROCESS,DB2 Driver Provider GR (XA),WTS_PS,1,400,180,180,1800,0,EntirePool,10,6,sewtsdb02.cpall.co.th,50000,
Cluster,DCGRP_PROCESS,DB2 Driver Provider GR (XA),WTS_PDC,1,400,180,180,1800,0,EntirePool,10,6,sewtsdb02.cpall.co.th,50000,
Cluster,DCGRP_PROCESS,DB2 Driver Provider GR (XA),adapterMM,1,400,180,180,1800,0,EntirePool, , , , ,
Cluster,DCGRP_SIB,DB2 Driver Provider GR (XA),WASME,1,400,180,180,1800,0,EntirePool,10,6,sewtsdb02.cpall.co.th,50000,
Cluster,DCMH_ONLINE,DB2 Driver Provider MH (XA),WTS_MH,1,400,180,180,1800,0,EntirePool,10,6,sewtsdb02.cpall.co.th,50000,
Cluster,DCMH_ONLINE,DB2 Driver Provider MH (XA),WTS_CDC,1,400,180,180,1800,0,EntirePool,10,6,sewtsdb02.cpall.co.th,50000,
Cluster,DCMH_ONLINE,DB2 Driver Provider MH (XA),WTS_RCDC,1,400,180,180,1800,0,EntirePool,10,6,sewtsdb02.cpall.co.th,50000,
Cluster,DCMH_ONLINE,DB2 Driver Provider MH (XA),WTS_PDC,1,400,180,180,1800,0,EntirePool,10,6,sewtsdb02.cpall.co.th,50000,
Cluster,DCMH_ONLINE,DB2 Driver Provider MH (XA),WTS_BDC,1,400,180,180,1800,0,EntirePool,10,6,sewtsdb02.cpall.co.th,50000,
Cluster,DCMH_ONLINE,DB2 Driver Provider MH (XA),WTS_ODC,1,400,180,180,1800,0,EntirePool,10,6,sewtsdb02.cpall.co.th,50000,
Cluster,DCMH_ONLINE,DB2 Driver Provider MH (XA),adapterMM,1,400,180,180,1800,0,EntirePool, , , , ,
Cluster,DCMH_PROCESS,DB2 Driver Provider MH (XA),WTS_PS,1,400,180,180,1800,0,EntirePool,10,6,sewtsdb02.cpall.co.th,50000,
Cluster,DCMH_PROCESS,DB2 Driver Provider MH (XA),WTS_RCDC,1,400,180,180,1800,0,EntirePool,10,6,sewtsdb02.cpall.co.th,50000,
Cluster,DCMH_PROCESS,DB2 Driver Provider MH (XA),adapterMM,1,400,180,180,1800,0,EntirePool, , , , ,
Cluster,DCMH_SIB,DB2 Driver Provider MH (XA),WASME,1,400,180,180,1800,0,EntirePool,10,6,sewtsdb02.cpall.co.th,50000,



